 numeroProcesos; repeticiones; tiempoTotal;
1; 20041299; 55.006724;
1; 20041299; 54.474233;
1; 20041299; 61.804668;
2; 15601670; 21.321841;
2; 15692349; 21.599060;
2; 14843931; 21.506334;
3; 10808333; 10.260616;
3; 10338755; 12.495205;
3; 9086014; 9.444843;
4; 12980648; 11.429699;
4; 13863647; 12.205745;
4; 18030685; 13.409738;
5; 15764665; 12.460204;
5; 15811334; 12.393610;
5; 21883546; 16.617878;
6; 16046934; 11.163070;
6; 12858019; 9.044903;
6; 13578170; 9.341095;
7; 21445938; 14.305718;
7; 23392232; 16.241953;
7; 21536898; 13.867820;
8; 15414037; 9.582699;
8; 16346584; 9.898794;
8; 14955537; 9.253267;
16; 28673545; 32.342097;
16; 16604408; 17.988563;
16; 21833792; 24.120160;
32; 11338455; 13.402526;
32; 16108509; 19.059748;
32; 14971926; 18.196848;
64; 20249956; 51.665684;
64; 18860741; 40.648469;
64; 17768603; 39.560932;
