 numeroProcesos; repeticiones; tiempoTotal;
1; 20041299; 60.758835;
2; 15461145; 22.493102;
3; 9880161; 9.576246;
4; 14990580; 11.012603;
5; 21058191; 13.013575;
6; 15573718; 8.024953;
7; 21115056; 9.161198;
8; 15635383; 5.958208;
16; 24919174; 4.741360;
32; 14188101; 1.565166;
64; 21728062; 1.849936;
128; 23996707; 3.524031;
256; 18053390; 3.239213;
