 numeroProcesos; repeticiones; tiempoTotal;
1; 20041299; 65.238841;
2; 15265624; 23.330643;
3; 9817190; 9.488291;
4; 14714713; 10.882397;
5; 19931862; 11.828793;
6; 18281471; 8.880924;
7; 18177026; 7.627588;
8; 15892149; 6.115806;
16; 20395885; 3.902922;
32; 18787672; 2.522857;
64; 21637929; 2.833038;
128; 20818269; 4.284876;
256; 24095637; 7.588458;
